platform,conference,title,mention_text
FederatedScope,ICML_2024_FEDERATED_LEARNING 2635,Federated Full-Parameter Tuning of Billion-Sized Language Models with Communication Cost under 18 Kilobytes,"FATE: There are also some works contributing to the deployment of LLM tuning with FL, e.g., FederatedScope-LLM (Kuang et al., 2023) and FATE-LLM (Fan et al., 2023). | FATE-LLM: A industrial grade federated learning framework for large language models. || FederatedScope: Our codes are publicly available at https://github.com/a libaba/FederatedScope/tree/FedKSeed. 2. | There are also some works contributing to the deployment of LLM tuning with FL, e.g., FederatedScope-LLM (Kuang et al., 2023) and FATE-LLM (Fan et al., 2023). | FederatedScope- LLM: A comprehensive package for fine-tuning large language models in federated learning. arXiv preprint arXiv:2309.00363, 2023."
FederatedScope,NEURIPS_2025_FEDERATED_LEARNING 5858,Robust Federated Finetuning of LLMs via Alternating Optimization of LoRA,"We implement all the methods based on FederatedScope-LLM [24]. | Federatedscope-llm: A comprehensive package for fine-tuning large language models in federated learning, 2023. [25] Xiang Li, Kaixuan Huang, Wenhao Yang, Shusen Wang, and Zhihua Zhang."
FederatedScope,ICLR_2025_FEDERATED_LEARNING 3827,Selective Aggregation for Low-Rank Adaptation in Federated Learning,"Our implementation is based on the FederatedScope-LLM library (Kuang et al., 2023). | Federatedscope-llm: A comprehensive package for fine-tuning large language models in federated learning. arXiv preprint arXiv:2309.00363, 2023. || FedScale: Fedscale: Benchmarking model and system performance of federated learning at scale."
FederatedScope,ICLR_2025_FEDERATED_LEARNING 3827,Towards Federated RLHF with Aggregated Client Preference for LLMs,"Our implementation is built upon FederatedScope (Xie et al., 2023; Kuang et al., 2023). | Federatedscope-llm: A comprehensive package for fine-tuning large language models in federated learning. arXiv preprint arXiv:2309.00363, 2023. | Federatedscope: A flexible federated learning platform for heterogeneity."
Flower,ICLR_2024_FEDERATED_LEARNING 2297,Breaking Physical and Linguistic Borders: Multilingual Federated Prompt Tuning for Low-Resource Languages,"Lane 1,4 1 University of Cambridge, 2 University College London, 3 Samsung AI Center, Cambridge, 4 Flower Labs ABSTRACT Pre-trained large language models (LLMs) have emerged as a cornerstone in mod- ern natural language processing, with their utility expanding to various applications and languages. | Flower: A friendly federated learning research framework, 2020. | On-device federated learning with flower. arXiv preprint arXiv:2104.03042, 2021. | Protea: Client profiling within federated systems using flower. | For our federated training and evaluation, we use the Flower framework (Beutel et al., 2020; Zhao et al., 2022) and PyTorch as the underlying auto-differentiation framework (Paszke et al., 2019)."
Flower,NEURIPS_2025_FEDERATED_LEARNING 5858,FLUX: Efficient Descriptor-Driven Clustered Federated Learning under Arbitrary Distribution Shifts,"Flower: A Friendly Federated Learning Research Framework, March 2022. [74] J. | B.3 Code, Licenses and Hardware Our experiments were implemented using Python 3.12 and open-source libraries including PyTorch 2.4 [71] (BSD license), Scikit-learn 1.5 [72] (BSD license), and Flower 1.11 [73] (Apache License)."
Flower,NEURIPS_2023_FEDERATED_LEARNING 3585,FLuID: Mitigating Stragglers in Federated Learning using Invariant Dropout,"The CIFAR10 dataset consists of images, partitioned using the same strategy as FjORD [HLA+21] and the IID partition provided by the Flower [BTM+20]. | FLuID is implemented on top of the Flower (v0.18.0) [BTM+20] framework and TensorFlow Lite [Goo] from TensorFlow v2.8.0 [ABC+16]. | Flower: A friendly federated learning research framework, 2020. [CCA+21] Zheng Chai, Yujing Chen, Ali Anwar, Liang Zhao, Yue Cheng, and Huzefa Rangwala. || LEAF: We observe that after only 30% of the training iterations, 15%-30% of the neurons become invariant across CIFAR10 [Kri09], and LEAF datasets FEMNIST, and Shakespeare [CDW+18]."
Flower,ICML_2024_FEDERATED_LEARNING 2635,FedBAT: Communication-Efficient Federated Learning via Learnable Binarization,"All experiments are conducted on Flower (Beutel et al., 2020), an open-source training plat- form for FL. | Flower: A friendly federated learning research framework."
Flower,NEURIPS_2023_FEDERATED_LEARNING 3585,FedL2P: Federated Learning to Personalize,"Lane1,4 1 University of Cambridge, UK 2 Samsung AI Center, Cambridge, UK 3 University of Edinburgh, UK 4 Flower Labs Abstract Federated learning (FL) research has made progress in developing algorithms for distributed learning of global models, as well as algorithms for local personalization of those common models to the specifics of each client’s local data distribution. | Flower: A friendly federated learning research framework. arXiv preprint arXiv:2007.14390, 2020. [7] Christopher Briggs, Zhong Fan, and Peter Andras. | D Pretrained Model and Setup Details We use the Flower federated learning framework [6] and 8 NVIDIA GeForce RTX 2080 Ti GPUs for all experiments."
Flower,NEURIPS_2024_FEDERATED_LEARNING 4538,Federated Behavioural Planes: Explaining the Evolution of Client Behaviour in Federated Learning,"Flower: A friendly federated learning research framework. arXiv preprint arXiv:2007.14390, 2020. 14 [67] Adam Paszke, Sam Gross, Francisco Massa, Adam Lerer, James Bradbury, Gregory Chanan, Trevor Killeen, Zeming Lin, Natalia Gimelshein, Luca Antiga, Alban Desmaison, Andreas Köpf, Edward Yang, Zachary DeVito, Martin Raison, Alykhan Tejani, Sasank Chilamkurthy, Benoit Steiner, Lu Fang, Junjie Bai, and Soumith Chintala. | The Flower library was utilised to implement FL [66]. | A.5 Code, licenses and hardware For our experiments, we implement all baselines and methods in Python 3.9 and relied upon open- source libraries such as PyTorch 2.2 [67] (BSD license), Sklearn 1.4 [68] (BSD license), Flower 1.6 [66] (Apache License)."
Flower,NEURIPS_2024_FEDERATED_LEARNING 4538,Federated Ensemble-Directed Offline Reinforcement Learning,"We implement FEDORA over the Flower federated learning platform [2] which supports learning across devices. | Flower: A friendly federated learning research framework. arXiv preprint arXiv:2007.14390, 2020. [3] Xinyue Chen, Zijian Zhou, Zheng Wang, Che Wang, Yanqiu Wu, and Keith Ross. | Federation Structure: We implement FEDORA over the Flower federated learning platform [2], which supports learning across devices with heterogeneous software stacks, compute capabilities, and network bandwidths. | Flower manages all communication across clients and the server and permits us to implement the custom server-side and client-side algorithms of FEDORA easily. | However, since Flower is aimed at supervised learning, it only transmits and receives a single model at each federation round, whereas we desire to federate both policies and critic models. | While ‘FEDORA-over-Flower’ is an effective solution for working across distributed compute resources, we also desire a simulation setup that can be executed on a single machine. | This time can be drastically reduced when run over distributed compute using the Flower framework."
Flower,NEURIPS_2024_FEDERATED_LEARNING 4538,Federated Learning over Connected Modes,"We provide implementations of FLOCO in the FL frameworks FL-bench [20] and Flower [21]. | Flower: A friendly federated learning research framework. arXiv preprint arXiv:2007.14390, 2020. [22] Chen Zhang, Yu Xie, Hang Bai, Bin Yu, Weihong Li, and Yuan Gao. | Note, that for this benchmark we have implemented FLOCO as well as SUPERFED in the FL framework Flower [21]. 17 NeurIPS Paper Checklist The checklist is designed to encourage best practices for responsible machine learning research, addressing issues of reproducibility, transparency, research ethics, and societal impact."
Flower,ICML_2023_FEDERATED_LEARNING 1865,Flash: Concept Drift Adaptation in Federated Learning,"We use Flower (Beutel et al., 2020) library to implement FLASH and all its baselines. | Flower: A friendly federated learning research framework. arXiv preprint 2007.14390, 2020. || TensorFlow Federated: TensorFlow Federated Datasets. https: //www.tensorflow.org/federated/api_ docs/python/tff/simulation/datasets, 2023. [Online; accessed 09-Jan-2023]. | TensorFlow Federated Datasets. https://www.tensorflow.org/federated/ api_docs/python/tff/simulation/ datasets/shakespeare, 2023. [Online; ac- cessed 09-Jan-2023]. | TensorFlow Federated Datasets. https://www.tensorflow.org/federated/ api_docs/python/tff/simulation/ datasets/cifar100/load_data, 2023. [Online; accessed 18-Jan-2023]. 10 Flash: Concept Drift Adaptation in Federated Learning A. || FedML: Stackoverflow Dataset FedML. | FedML Feder- ated Stackoverflow Heterogenity . https: //github.com/FedML-AI/FedML/blob/ ecd2d81222301d315ca3a84be5a5ce4f33d6181c/ doc/en/simulation/benchmark/ BENCHMARK_MPI.md, 2022. [Online; accessed 14-Sep-2022]. | This is a naturally heterogeneous dataset (FedML, 2022)."
Flower,NEURIPS_2023_FEDERATED_LEARNING 3585,Flow: Per-instance Personalized Federated Learning,"We use Flower [37] library to implement Flow and all its baselines. | Flower: A friendly federated learning research framework. arXiv preprint 2007.14390, 2020. [38] Wenqi Wei, Ling Liu, Margaret Loper, Ka Ho Chow, Mehmet Emre Gursoy, Stacey Truex, and Yanzhao Wu. || TensorFlow Federated: TensorFlow Federated Datasets. https://www.tensorflow.org/federated/api_ docs/python/tff/simulation/datasets, 2023. [Online; accessed 09-Jan-2023]. [31] Shakespeare. | TensorFlow Federated Datasets. https://www.tensorflow.org/federated/api_ docs/python/tff/simulation/datasets/shakespeare, 2023. [Online; accessed 09-Jan-2023]. [32] Gregory Cohen, Saeed Afshar, Jonathan Tapson, and André van Schaik. | TensorFlow Federated Datasets. https://www.tensorflow.org/federated/api_docs/ python/tff/simulation/datasets/cifar100/load_data, 2023. [Online; accessed 18-Jan-2023]. [49] Hanxiao Liu, Karen Simonyan, and Yiming Yang. || FedML: IEEE Transactions on Information Forensics and Security, 2020. [45] Stackoverflow Dataset FedML. | FedML Federated Stackoverflow Heterogenity . https: //github.com/FedML-AI/FedML/blob/ecd2d81222301d315ca3a84be5a5ce4f33d6181c/doc/ en/simulation/benchmark/BENCHMARK_MPI.md, 2022. [Online; accessed 14-Sep-2022]. [46] Jianyu Wang, Qinghua Liu, Hao Liang, Gauri Joshi, and H Vincent Poor."
Flower,NEURIPS_2025_FEDERATED_LEARNING 5858,FlowerTune: A Cross-Domain Benchmark for Federated Fine-Tuning of Large Language Models,"However, accessing data stored within relevant institutions and organizations raises substan- ∗Corresponding author: yan@flower.ai Figure 1: Overview of the FlowerTune LLM Leaderboard. | To systematically address these open challenges and deepen understanding, we introduce the Flower- Tune LLM Leaderboard 2, a benchmarking initiative built on the Flower Platform [13], designed to evaluate the performance of various pre-trained LLMs under various federated fine-tuning scenarios across multiple domains. | This enables valuable insights into the feasibility and effectiveness of deploying federated fine-tuning for LLMs, and would further assist in accelerating the development of more inclusive, privacy-preserving, and domain-specialized language models for real-world applications. 2https://flower.ai/benchmarks/llm-leaderboard 2 Table 1: Statistical summary of the datasets and their splits for federated fine-tuning in FlowerTune LLM Leaderboard. | We employ Flower Datasets [37] to partition each dataset into multiple shards of approximately equal size, simulating the data distribution across institutions in FL environments. | B. de Gusmão, et al. Flower: A friendly federated learning research framework. arXiv preprint arXiv:2007.14390, 2020. [14] J. | Flower Datasets. https://flower.ai/docs/datasets, 2025. [38] C. || FATE: FATE-LLM [22] focuses on industrial deployment, supporting both horizontal 9 and vertical federated settings. | FATE-LLM: A industrial grade federated learning framework for large language models. arXiv preprint arXiv:2310.10049, 2023. [23] T. || FederatedScope: FederatedScope-LLM [36] provides a modular package supporting PEFT and auto- mated benchmarking. | FederatedScope-LLM: A comprehensive package for fine-tuning large language models in federated learning."
Flower,ICCV_2023_FEDERATED_LEARNING 2156,L-DAWA: Layer-wise Divergence Aware Weight Aggregation in Federated Self-Supervised Visual Representation Learning,"All training schemes are implemented with PyTorch-Lightning [9], and Flower [2]. 4.3. | Flower: A friendly federated learning research framework. arXiv preprint arXiv:2007.14390, 2020. [3] Debora Caldarola, Barbara Caputo, and Marco Ciccone."
Flower,ICLR_2025_FEDERATED_LEARNING 3827,SparsyFed: Sparse Adaptive Federated Learning,"Recent approaches address these issues using fixed sparse masks (Huang et al., 2022; Qiu et al., 2022) or dynamic methods involving mask * Equal Contribution, correspondence to adriano.guastella2@unibo.it 1 Dipartimento di Informatica - Scienza e Ingegneria, Universit`a di Bologna 2 Department of Computer Science and Technology, University of Cambridge 3 Flower Labs, UK 1 Published as a conference paper at ICLR 2025 warmup and refreshing (Babakniya et al., 2023). | We used Flower (Beutel et al., 2022) to simulate the federated learning setting. | Flower: A friendly federated learning research framework, 2022. | To simulate the federated learning environment, we used the Flower framework (Beutel et al., 2022)."
Flower,NEURIPS_2024_FEDERATED_LEARNING 4538,Thinking Forward: Memory-Efficient Federated Finetuning of Language Models,"SPRY is implemented in Flower [43] library. | For the zero-order methods, we used their respective client-side implementations with the server simulation structure of Flower. | Flower: A friendly federated learning research framework. arXiv preprint 2007.14390, 2020. [44] AutoGPTQ, 2024. || FATE: Fate-llm: A industrial grade federated learning framework for large language models. arXiv 2310.10049, 2023. [50] Fan Lai, Yinwei Dai, Sanjay S. || FedScale: Fedscale: Benchmarking model and system performance of federated learning at scale. arXiv 2105.11367, 2022. [51] Jae Ro, Theresa Breiner, Lara McConnaughey, Mingqing Chen, Ananda Suresh, Shankar Kumar, and Rajiv Mathews."
NVIDIA FLARE,ICCV_2023_FEDERATED_LEARNING 2156,Communication-Efficient Vertical Federated Learning with Limited Overlapping Samples,"Our code is available at https://nvidia.github. io/NVFlare/research/one-shot-vfl. 1. | Advances in neural information processing systems, 17, 2004. 3 2https://nvidia.github.io/NVFlare/research/ one-shot-vfl [10] Andrew Hard, Kanishka Rao, Rajiv Mathews, Swaroop Ra- maswamy, Françoise Beaufays, Sean Augenstein, Hubert Eichner, Chloé Kiddon, and Daniel Ramage. || FATE: FATE [19] implemented a framework that supports DNN in VFL. | Even though FATE improves the model’s ca- pacity in VFL by supporting DNN, it still requires frequent communication between the participants for each iteration of training and therefore incurs significant communication costs as in previous VFL methods. | To improve data privacy and model security, FATE [19] applies a hybrid encryption scheme in the forward and backward stages of training. | For UCI_credit_card dataset, we follow FATE [19] to assign ten attributes to one client and the rest to the other client. | Fate: An industrial grade platform for collaborative learning with data protection."
NVIDIA FLARE,CVPR_2023_FEDERATED_LEARNING 2353,Fair Federated Medical Image Segmentation via Client Contribution Estimation,Code is available at https://nvidia.github. io/NVFlare/research/fed-ce 1.
NVIDIA FLARE,ICML_2024_FEDERATED_LEARNING 2635,FedBPT: Efficient Federated Black-box Prompt Tuning for Large Language Models,"Our code is available in NVIDIA FLARE. 1Department of Electrical Computer Engineering, Duke Univer- sity, Durham, USA 2NVIDIA, Santa Clara, USA."
TensorFlow Federated,ICLR_2023_FEDERATED_LEARNING 1585,"Generalization Bounds for Federated Learning: Fast Rates, Unparticipating Clients and Unbounded Losses","Introducing tensorflow federated. 2019. | Our experiments are based on Tensorflow Federated (TFF) (Alex & Krzys, 2019). 1.5 2.0 2.5 3.0 log (#participating clients) 0.00 0.05 0.10 0.15 0.20 0.25 loss MNIST 1.5 2.0 2.5 3.0 log (#participating clients) 0.95 0.96 0.97 0.98 0.99 1.00 acc MNIST participating training participating validation unparticipating Figure 2: Generalization error versus the number of participating clients."
